"Notes","Occurrence County","Occurrence County Code","Multiple Cause of death","Multiple Cause of death Code",Deaths,Population,Crude Rate,% of Total Deaths
,"Kings County, CA","06031","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",10,Not Applicable,Not Applicable,0.0%
,"Kings County, CA","06031","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",47,Not Applicable,Not Applicable,0.0%
,"Kings County, CA","06031","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",42,Not Applicable,Not Applicable,0.0%
,"Kings County, CA","06031","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",46,Not Applicable,Not Applicable,0.0%
,"Lake County, CA","06033","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",51,Not Applicable,Not Applicable,0.0%
,"Lake County, CA","06033","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",11,Not Applicable,Not Applicable,0.0%
,"Lake County, CA","06033","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",152,Not Applicable,Not Applicable,0.0%
,"Lake County, CA","06033","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",42,Not Applicable,Not Applicable,0.0%
,"Lake County, CA","06033","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",131,Not Applicable,Not Applicable,0.0%
,"Lassen County, CA","06035","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",19,Not Applicable,Not Applicable,0.0%
,"Lassen County, CA","06035","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",26,Not Applicable,Not Applicable,0.0%
,"Lassen County, CA","06035","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",13,Not Applicable,Not Applicable,0.0%
,"Lassen County, CA","06035","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",35,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Mental and behavioural disorders due to use of opioids, harmful use","F11.1",13,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Mental and behavioural disorders due to use of opioids, dependence syndrome","F11.2",19,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",279,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Mental and behavioural disorders due to use of cannabinoids, unspecified mental and behavioural disorder","F12.9",20,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder","F13.9",62,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",501,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",32,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",519,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",1708,Not Applicable,Not Applicable,0.1%
,"Los Angeles County, CA","06037","Mental and behavioural disorders due to use of volatile solvents, harmful use","F18.1",20,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",230,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome","F19.2",13,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",2805,Not Applicable,Not Applicable,0.1%
,"Los Angeles County, CA","06037","Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics","X40",69,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",2407,Not Applicable,Not Applicable,0.1%
,"Los Angeles County, CA","06037","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",3087,Not Applicable,Not Applicable,0.1%
,"Los Angeles County, CA","06037","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",5044,Not Applicable,Not Applicable,0.2%
,"Los Angeles County, CA","06037","Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics","X60",10,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X61",104,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X62",30,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",246,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Assault by drugs, medicaments and biological substances","X85",26,Not Applicable,Not Applicable,0.0%
,"Los Angeles County, CA","06037","Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent","Y11",14,Not Applicable,Not Applicable,0.0%
,"Madera County, CA","06039","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",31,Not Applicable,Not Applicable,0.0%
,"Madera County, CA","06039","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",37,Not Applicable,Not Applicable,0.0%
,"Madera County, CA","06039","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",30,Not Applicable,Not Applicable,0.0%
,"Madera County, CA","06039","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",65,Not Applicable,Not Applicable,0.0%
,"Madera County, CA","06039","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",15,Not Applicable,Not Applicable,0.0%
,"Madera County, CA","06039","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",33,Not Applicable,Not Applicable,0.0%
,"Marin County, CA","06041","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",26,Not Applicable,Not Applicable,0.0%
,"Marin County, CA","06041","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",228,Not Applicable,Not Applicable,0.0%
,"Marin County, CA","06041","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",56,Not Applicable,Not Applicable,0.0%
,"Marin County, CA","06041","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",77,Not Applicable,Not Applicable,0.0%
,"Marin County, CA","06041","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",107,Not Applicable,Not Applicable,0.0%
,"Marin County, CA","06041","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",18,Not Applicable,Not Applicable,0.0%
,"Mendocino County, CA","06045","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",36,Not Applicable,Not Applicable,0.0%
,"Mendocino County, CA","06045","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",96,Not Applicable,Not Applicable,0.0%
,"Mendocino County, CA","06045","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",46,Not Applicable,Not Applicable,0.0%
,"Mendocino County, CA","06045","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",153,Not Applicable,Not Applicable,0.0%
,"Merced County, CA","06047","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",48,Not Applicable,Not Applicable,0.0%
,"Merced County, CA","06047","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",96,Not Applicable,Not Applicable,0.0%
,"Merced County, CA","06047","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",95,Not Applicable,Not Applicable,0.0%
,"Merced County, CA","06047","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",67,Not Applicable,Not Applicable,0.0%
,"Merced County, CA","06047","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",91,Not Applicable,Not Applicable,0.0%
,"Merced County, CA","06047","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",55,Not Applicable,Not Applicable,0.0%
,"Merced County, CA","06047","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",90,Not Applicable,Not Applicable,0.0%
,"Merced County, CA","06047","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",10,Not Applicable,Not Applicable,0.0%
,"Mono County, CA","06051","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,Not Applicable,Not Applicable,0.0%
,"Monterey County, CA","06053","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",40,Not Applicable,Not Applicable,0.0%
,"Monterey County, CA","06053","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",16,Not Applicable,Not Applicable,0.0%
,"Monterey County, CA","06053","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",11,Not Applicable,Not Applicable,0.0%
,"Monterey County, CA","06053","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",46,Not Applicable,Not Applicable,0.0%
,"Monterey County, CA","06053","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",44,Not Applicable,Not Applicable,0.0%
,"Monterey County, CA","06053","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",33,Not Applicable,Not Applicable,0.0%
,"Monterey County, CA","06053","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",26,Not Applicable,Not Applicable,0.0%
,"Monterey County, CA","06053","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",89,Not Applicable,Not Applicable,0.0%
,"Monterey County, CA","06053","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",76,Not Applicable,Not Applicable,0.0%
,"Monterey County, CA","06053","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",283,Not Applicable,Not Applicable,0.0%
,"Monterey County, CA","06053","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",24,Not Applicable,Not Applicable,0.0%
,"Napa County, CA","06055","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",16,Not Applicable,Not Applicable,0.0%
,"Napa County, CA","06055","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",34,Not Applicable,Not Applicable,0.0%
,"Napa County, CA","06055","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",131,Not Applicable,Not Applicable,0.0%
,"Napa County, CA","06055","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",28,Not Applicable,Not Applicable,0.0%
,"Napa County, CA","06055","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",23,Not Applicable,Not Applicable,0.0%
,"Napa County, CA","06055","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",44,Not Applicable,Not Applicable,0.0%
,"Nevada County, CA","06057","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",19,Not Applicable,Not Applicable,0.0%
,"Nevada County, CA","06057","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",13,Not Applicable,Not Applicable,0.0%
,"Nevada County, CA","06057","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",35,Not Applicable,Not Applicable,0.0%
,"Nevada County, CA","06057","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",15,Not Applicable,Not Applicable,0.0%
,"Nevada County, CA","06057","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",47,Not Applicable,Not Applicable,0.0%
,"Nevada County, CA","06057","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",57,Not Applicable,Not Applicable,0.0%
,"Nevada County, CA","06057","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",58,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Mental and behavioural disorders due to use of opioids, harmful use","F11.1",17,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Mental and behavioural disorders due to use of opioids, dependence syndrome","F11.2",31,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",33,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Mental and behavioural disorders due to use of cannabinoids, unspecified mental and behavioural disorder","F12.9",20,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder","F13.9",17,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",91,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",108,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",291,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",181,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome","F19.2",19,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",60,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Finding of opiate drug in blood","R78.1",14,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Finding of cocaine in blood","R78.2",11,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Finding of other drugs of addictive potential in blood","R78.4",52,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",434,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",797,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",2058,Not Applicable,Not Applicable,0.1%
,"Orange County, CA","06059","Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X61",49,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X62",26,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",193,Not Applicable,Not Applicable,0.0%
,"Orange County, CA","06059","Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent","Y14",13,Not Applicable,Not Applicable,0.0%
,"Placer County, CA","06061","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",15,Not Applicable,Not Applicable,0.0%
,"Placer County, CA","06061","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",11,Not Applicable,Not Applicable,0.0%
,"Placer County, CA","06061","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",67,Not Applicable,Not Applicable,0.0%
,"Placer County, CA","06061","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",48,Not Applicable,Not Applicable,0.0%
,"Placer County, CA","06061","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",256,Not Applicable,Not Applicable,0.0%
,"Placer County, CA","06061","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",37,Not Applicable,Not Applicable,0.0%
,"Placer County, CA","06061","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",21,Not Applicable,Not Applicable,0.0%
,"Placer County, CA","06061","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",76,Not Applicable,Not Applicable,0.0%
,"Placer County, CA","06061","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",124,Not Applicable,Not Applicable,0.0%
,"Placer County, CA","06061","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",84,Not Applicable,Not Applicable,0.0%
,"Placer County, CA","06061","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",11,Not Applicable,Not Applicable,0.0%
,"Plumas County, CA","06063","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",13,Not Applicable,Not Applicable,0.0%
,"Plumas County, CA","06063","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",42,Not Applicable,Not Applicable,0.0%
,"Plumas County, CA","06063","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",11,Not Applicable,Not Applicable,0.0%
,"Plumas County, CA","06063","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",15,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Mental and behavioural disorders due to use of opioids, harmful use","F11.1",29,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Mental and behavioural disorders due to use of opioids, dependence syndrome","F11.2",25,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",45,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Mental and behavioural disorders due to use of cannabinoids, unspecified mental and behavioural disorder","F12.9",11,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",21,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",161,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome","F15.2",10,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",199,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",542,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",202,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",64,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",1122,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",895,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",1566,Not Applicable,Not Applicable,0.1%
,"Riverside County, CA","06065","Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X61",27,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X62",21,Not Applicable,Not Applicable,0.0%
,"Riverside County, CA","06065","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",93,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Mental and behavioural disorders due to use of opioids, harmful use","F11.1",50,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",341,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder","F13.9",14,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Mental and behavioural disorders due to use of cocaine, harmful use","F14.1",31,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",109,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",263,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",902,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",631,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",427,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",743,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",809,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",560,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",949,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X61",20,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X62",10,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",55,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent","Y11",13,Not Applicable,Not Applicable,0.0%
,"Sacramento County, CA","06067","Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent","Y14",24,Not Applicable,Not Applicable,0.0%
,"San Benito County, CA","06069","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",10,Not Applicable,Not Applicable,0.0%
,"San Benito County, CA","06069","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",11,Not Applicable,Not Applicable,0.0%
,"San Benito County, CA","06069","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",16,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Mental and behavioural disorders due to use of opioids, harmful use","F11.1",36,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Mental and behavioural disorders due to use of opioids, dependence syndrome","F11.2",13,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",37,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Mental and behavioural disorders due to use of cocaine, harmful use","F14.1",71,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",20,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",659,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",212,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",437,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",245,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome","F19.2",10,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",137,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics","X40",22,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",546,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",955,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",712,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X61",19,Not Applicable,Not Applicable,0.0%
,"San Bernardino County, CA","06071","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",42,Not Applicable,Not Applicable,0.0%
,"San Diego County, CA","06073","Mental and behavioural disorders due to use of opioids, harmful use","F11.1",19,Not Applicable,Not Applicable,0.0%
